,Bug_No,Topics,Text
142,142,"4 0.17612146307798485, 0 0.17225672877846793, 3 0.15969634230503796, 2 0.15486542443064186, 1 0.11235334713595582, 5 0.11235334713595582, 6 0.11235334713595582","typeutils.tostring() doesnt handle primitive and object arrays correctly.specifically, these tests will fail:{code}assertequals(""int[]"", typeutils.tostring(int[].class));assertequals(""java.lang.integer[]"", typeutils.tostring(integer[].class));{code}if you declare a field with type {{list<string>[]}}, then you can add this test:{code}assertequals(""java.util.list<java.lang.string>[]"", typeutils.tostring(field.getgenerictype()));{code}this patch fixes the issue:{code} private static string classtostring(final class<?> c) {// begin patch if (c.isarray()) { return tostring(c.getcomponenttype()) + ""[]""; }// end patch final stringbuilder buf = new stringbuilder();{code} "
143,143,"0 0.20338624338624342, 5 0.17523809523809522, 6 0.1456084656084656, 2 0.14116402116402116, 4 0.13523809523809524, 1 0.10412698412698414, 3 0.09523809523809527","these all work:{code:java}system.out.println(new locale(""en"", ""001""));system.out.println(new locale(""en"", ""150""));system.out.println(new locale(""ar"", ""001""));{code}but these all fail with an illegalargumentexception:{code:java}system.out.println(localeutils.tolocale(""en_001""));system.out.println(localeutils.tolocale(""en_150""));system.out.println(localeutils.tolocale(""ar_001""));{code} "
144,144,"1 0.5006191601936282, 4 0.105032083755488, 0 0.09478779691545647, 2 0.08690757626927838, 5 0.08217944388157153, 3 0.06563098052459754, 6 0.06484295845997973","multilinerecursivetostringstyle style = new multilinerecursivetostringstyle();string result = tostringbuilder.reflectiontostring(new string[] {""1"",""2""}, style);java.lang.stackoverflowerror at org.apache.commons.lang3.builder.tostringstyle.appendstart(tostringstyle.java:409) at org.apache.commons.lang3.builder.tostringbuilder.<init>(tostringbuilder.java:262) at org.apache.commons.lang3.builder.reflectiontostringbuilder.<init>(reflectiontostringbuilder.java:481) at org.apache.commons.lang3.builder.reflectiontostringbuilder.tostring(reflectiontostringbuilder.java:300) at org.apache.commons.lang3.builder.reflectiontostringbuilder.tostring(reflectiontostringbuilder.java:157) at org.apache.commons.lang3.builder.recursivetostringstyle.appenddetail(recursivetostringstyle.java:74) at org.apache.commons.lang3.builder.multilinerecursivetostringstyle.reflectionappendarraydetail(multilinerecursivetostringstyle.java:142) at org.apache.commons.lang3.builder.reflectiontostringbuilder.reflectionappendarray(reflectiontostringbuilder.java:633) at org.apache.commons.lang3.builder.reflectiontostringbuilder.appendfieldsin(reflectiontostringbuilder.java:538) at org.apache.commons.lang3.builder.reflectiontostringbuilder.tostring(reflectiontostringbuilder.java:711) at org.apache.commons.lang3.builder.reflectiontostringbuilder.tostring(reflectiontostringbuilder.java:301) at org.apache.commons.lang3.builder.reflectiontostringbuilder.tostring(reflectiontostringbuilder.java:157) at org.apache.commons.lang3.builder.recursivetostringstyle.appenddetail(recursivetostringstyle.java:74) at org.apache.commons.lang3.builder.multilinerecursivetostringstyle.reflectionappendarraydetail(multilinerecursivetostringstyle.java:142) "
145,145,"1 0.3974266474266475, 0 0.36375661375661383, 2 0.057359307359307374, 6 0.05399230399230401, 4 0.0497835497835498, 3 0.046416546416546425, 5 0.03126503126503127","the following code{code:java}final method method = enum.class.getmethod(""valueof"", class.class, string.class);final string typetext = typeutils.tostring(method.getgenericreturntype());{code}throws the following{code:none}exception in thread ""main"" java.lang.stackoverflowerror at sun.reflect.generics.reflectiveobjects.parameterizedtypeimpl.getrawtype(parameterizedtypeimpl.java:126) at sun.reflect.generics.reflectiveobjects.parameterizedtypeimpl.getrawtype(parameterizedtypeimpl.java:40) at org.apache.commons.lang3.reflect.typeutils.parameterizedtypetostring(typeutils.java:1790) at org.apache.commons.lang3.reflect.typeutils.tostring(typeutils.java:1666) at org.apache.commons.lang3.reflect.typeutils.appendallto(typeutils.java:1846) at org.apache.commons.lang3.reflect.typeutils.typevariabletostring(typeutils.java:1775) at org.apache.commons.lang3.reflect.typeutils.tostring(typeutils.java:1672) at org.apache.commons.lang3.reflect.typeutils.appendallto(typeutils.java:1846) at org.apache.commons.lang3.reflect.typeutils.parameterizedtypetostring(typeutils.java:1803) at org.apache.commons.lang3.reflect.typeutils.tostring(typeutils.java:1666) at org.apache.commons.lang3.reflect.typeutils.appendallto(typeutils.java:1846) at org.apache.commons.lang3.reflect.typeutils.typevariabletostring(typeutils.java:1775) at org.apache.commons.lang3.reflect.typeutils.tostring(typeutils.java:1672) at org.apache.commons.lang3.reflect.typeutils.appendallto(typeutils.java:1846) at org.apache.commons.lang3.reflect.typeutils.parameterizedtypetostring(typeutils.java:1803) at org.apache.commons.lang3.reflect.typeutils.tostring(typeutils.java:1666) at org.apache.commons.lang3.reflect.typeutils.appendallto(typeutils.java:1846) at org.apache.commons.lang3.reflect.typeutils.typevariabletostring(typeutils.java:1775) at org.apache.commons.lang3.reflect.typeutils.tostring(typeutils.java:1672) at org.apache.commons.lang3.reflect.typeutils.appendallto(typeutils.java:1846) at org.apache.commons.lang3.reflect.typeutils.parameterizedtypetostring(typeutils.java:1803) at org.apache.commons.lang3.reflect.typeutils.tostring(typeutils.java:1666) at org.apache.commons.lang3.reflect.typeutils.appendallto(typeutils.java:1846) at org.apache.commons.lang3.reflect.typeutils.typevariabletostring(typeutils.java:1775) at org.apache.commons.lang3.reflect.typeutils.tostring(typeutils.java:1672)...{code} "
146,146,"1 0.22100122100122105, 0 0.1440781440781441, 3 0.13724053724053722, 5 0.13553113553113552, 4 0.12698412698412698, 6 0.12527472527472527, 2 0.10989010989010993",seehttps://stackoverflow.com/questions/45603317/org-apache-commons-lang3-builder-equalsbuilderandhttps://github.com/apache/commons-lang/pull/282for details. 
147,147,"0 0.2828387393604785, 3 0.19427191166321597, 4 0.15159880377271678, 6 0.11214630779848168, 1 0.09604324821716123, 5 0.08960202438463305, 2 0.0734989648033126","{quote} i have found the design of three root cause related methods inconsistent when the input throwable does not wrap up another throwable. these three methods are 1. getrootcause(throwable t) 2. getrootcausemessage(throwable t) 3. getrootcausestacktrace(throwable t) when the input t has no lower level cause: - the first method returns null; - the second method returns the message of t, which means the input t is considered as the root cause in this method; - the third method returns the stack trace of t, which also means this method considers t as the root cause. therefore, i consider the design of the first method is not consistent with the second and the third. i usually write a function myself to get the root cause of an exception; and it makes much better sense to me the root cause of a throwable is itself if no more lower level cause exists. a request: change the first method to return t itself when there is no more causes. {quote} reported by zheng xie in https://mail-archives.apache.org/mod_mbox/commons-dev/201710.mbox/%3ccal-lhk7jvqgm9j1spxlb2qesxazwwq%2bykuv29xgwxeccchun0w%40mail.gmail.com%3e "
148,148,"0 0.1751070798689846, 1 0.16099773242630383, 3 0.16099773242630383, 5 0.13101536911060718, 2 0.12925170068027209, 6 0.12925170068027209, 4 0.11337868480725624",place holder for https://github.com/apache/commons-lang/pull/309 fixes a bug where the increment count is not correctly propagated. 
149,149,"1 0.17794486215538846, 3 0.15065441381230854, 0 0.14285714285714285, 2 0.14285714285714285, 6 0.13311055416318576, 4 0.12726260094681152, 5 0.1253132832080201",reported in [https://github.com/apache/commons-lang/pull/307] 
150,150,"0 0.27062512247697434, 3 0.1512835586909661, 2 0.14579659024103467, 4 0.13756613756613756, 5 0.10190084264158336, 6 0.10190084264158336, 1 0.09092690574172058","in tostringstyle class, which checking if a string is a valid json array, the boolean check was wrong. original: {code:java} private boolean isjsonarray(final string valueasstring) { return valueasstring.startswith(getarraystart()) && valueasstring.startswith(getarrayend()); } {code} the second expression should be valueasstring.endswith(getarrayend()) "
151,151,"0 0.25874928284566845, 3 0.13558997896347294, 2 0.13157391470644483, 5 0.13157391470644483, 4 0.1302352266207688, 6 0.11417096959265634, 1 0.0981067125645439","the date format symbols of the french locale adds a . (dot) when short month names are really abbreviated. {code} janv. févr. mars avr. mai juin juil. août sept. oct. nov. déc. {code} but in real world examples, the dot is frequently omitted. fastdateparser should be lenient in the case where the dot isnt there, e.g. ""14 avr 2014"". "
152,152,"0 0.24068322981366463, 4 0.15251897860593513, 1 0.14527260179434093, 2 0.13802622498274672, 3 0.13440303657694963, 6 0.11145617667356797, 5 0.07763975155279505",from the user mailing list [1]: jsontostringstyle does not escape double quote in a string value json requires double-quote to be escaped with a back-slash. this does not happen currently. nor does the code translate control characters such as nl and ff correctly. afaict the code is only guaranateed to process alphanumeric strings correctly. [1] https://lists.apache.org/thread.html/10bb632e86c473d58656431ad2702e058c58585e1a2edf1bf4a46824@%3cuser.commons.apache.org%3e 
153,153,"0 0.20362103174603172, 3 0.15848214285714285, 2 0.14285714285714282, 4 0.14285714285714282, 6 0.12723214285714282, 5 0.11334325396825398, 1 0.11160714285714288","json objects consist of a string : value pair. the string part can contain \""\ and \\\\ etc provided it is properly escaped. this is not currently supported."
154,154,"0 0.14285714285714285, 1 0.14285714285714285, 2 0.14285714285714285, 3 0.14285714285714285, 4 0.14285714285714285, 5 0.14285714285714285, 6 0.14285714285714285",
