,Document_No,Topics,Text
91,91,"4 0.2925729962767, 2 0.1512835586909661, 3 0.1361943954536547, 0 0.11836174799137761, 6 0.10464432686654908, 5 0.10052910052910051, 1 0.096413874191652",sort members.extract method.add final modifier to local variables.[] stringutils join apis for primitives.remove superfluous parens like:return (foo + 1);int len = (foo + 1);if ((foo + 1 > 2))((string) foo)applying ilyas patch from fixing an npe when tostring returns null
92,92,"2 0.2918985776128633, 6 0.21541950113378683, 3 0.10430839002267572, 4 0.10430839002267572, 1 0.09853638425066998, 0 0.0927643784786642, 5 0.0927643784786642",make sure lines in files dont have trailing white spaces and remove all trailing white spacesadd final modifier to method parameters.crlf -> lfjavadoc: fix typo but working is still awkward. - add issorted() to arrayutils. patch supplied by james sawle. in github.
93,93,"5 0.27387251196775003, 4 0.1310153691106072, 3 0.12925170068027209, 0 0.11866969009826156, 1 0.11866969009826156, 6 0.11514235323759135, 2 0.11337868480725626",change calendar.getinstance to new gregoriancalendarrefactoring fastdateformat per to use the formatcache class created for an upcoming dateparser functionality. ive kept formatcache package-private for now. 
94,94,"4 0.17334341143864954, 3 0.16805240614764425, 2 0.16099773242630386, 0 0.15217939027462835, 6 0.11690602166792646, 5 0.11514235323759135, 1 0.11337868480725626",deletes redundant new expression in constant array creationuse final. - stackoverflowerror on typeutils.tostring(...) for a generic return type of enum.valueof ()
95,95,"3 0.20839733742959546, 2 0.17255504352278542, 1 0.1438812083973374, 4 0.12058371735791092, 5 0.12058371735791092, 0 0.11879160266257041, 6 0.1152073732718894","dont use single letter variable names.add final modifier to local variables.adding basicthreadfactory class. same as olivers original patch in , with an @since 3.0 added"
96,96,"6 0.1831065759637188, 0 0.16128117913832196, 1 0.1454081632653061, 2 0.1275510204081633, 3 0.1275510204081633, 4 0.1275510204081633, 5 0.1275510204081633",: fastdateprinter generates date objects wastefullyfastdateformat apis that use a stringbuilder
97,97,"5 0.27275132275132274, 6 0.13015873015873017, 1 0.12089947089947091, 0 0.11904761904761905, 2 0.11904761904761905, 3 0.11904761904761905, 4 0.11904761904761905",applying chas hontons implementation of dateparser and subsequent integration into fastdateformat and the time package. see . 
98,98,"6 0.16831386642707397, 0 0.15783168613357293, 1 0.13477088948787067, 2 0.13477088948787067, 3 0.13477088948787067, 4 0.13477088948787067, 5 0.13477088948787067", durationformatutils does not handle large durations correctly
99,99,"6 0.2734748517881048, 5 0.19583094281889465, 3 0.16504111684834577, 0 0.09409064830751576, 2 0.09275196022183976, 4 0.09007458405048768, 1 0.08873589596481164","zz format not displaying z for utc with openjdk 6replace tabs with spaces fastdateparser and fastdateprinter support x formatadded missing support for iso 8601 parsing and printing using ""zz"" pattern (code now matches javadoc). addresses .add final modifier to local variables.applying chas hontons implementation of dateparser and subsequent integration into fastdateformat and the time package. see . "
100,100,"3 0.18783068783068776, 5 0.1487360376249265, 6 0.13433274544385657, 0 0.1322751322751323, 1 0.1322751322751323, 2 0.1322751322751323, 4 0.1322751322751323",: fastdateformat doesnt respect summer daylight in some localized strings
101,101,"2 0.23112073112073112, 4 0.19071669071669067, 0 0.14526214526214523, 1 0.10822510822510824, 3 0.10822510822510824, 5 0.10822510822510824, 6 0.10822510822510824",crlf -> lfjavadoc: fix typo but working is still awkward.simplify isempty be reusing getlengths/if (foo) { return true; } return false;/return foo;/g
102,102,"4 0.23386243386243383, 3 0.13941798941798939, 6 0.13571428571428568, 1 0.12645502645502646, 2 0.12645502645502646, 0 0.11904761904761907, 5 0.11904761904761907",: add methods for removing all invalid characters according to xml 1.0 and xml 1.1 in an input string to stringescapeutils. thanks to adam hooper
103,103,"0 0.18509550712940545, 4 0.15496368038740918, 2 0.14743072370191013, 5 0.13801452784503632, 1 0.12859833198816253, 3 0.12483185364541301, 6 0.12106537530266348","sort methods.applying sebbs patch from - adding isstarted, issuspended and isstopped to stopwatch"
104,104,"0 0.24458874458874458, 6 0.15367965367965364, 3 0.1385281385281385, 2 0.12674362674362674, 1 0.11664261664261666, 4 0.11159211159211159, 5 0.10822510822510822",add missing since tags for strsubstitutor; wrap lines longer than 80 chars[] strsubstitutor now supports the declaration of default values for the variables to be replaced. thanks to woonsan ko for the patch.
105,105,"4 0.3370140326662066, 6 0.11801242236024845, 0 0.1164021164021164, 1 0.11479181044398436, 2 0.10674028065332414, 3 0.10351966873706006, 5 0.10351966873706006","sort members.rolling stringutils and test code back to r1082046. the move to charsequence is theoretically desirable, but there are no common immutable charsequence subclasses other than string, making this a complex and useless change. instead strbuilder should be enhanced. 687"
106,106,"3 0.22660098522167488, 6 0.1403940886699507, 0 0.13656267104542966, 1 0.12698412698412703, 2 0.12315270935960594, 4 0.12315270935960594, 5 0.12315270935960594","tab alignment[] clear threadlocal recursion registry (compatibly with existing tests, first pass)"
107,107,"2 0.17835497835497835, 3 0.16219336219336217, 4 0.137950937950938, 1 0.13189033189033192, 0 0.12987012987012989, 5 0.12987012987012989, 6 0.12987012987012989",add final modifier to method parameters.
108,108,"2 0.22990271377368152, 4 0.1635944700460829, 3 0.13133640552995388, 6 0.1259600614439324, 1 0.11879160266257043, 0 0.11520737327188942, 5 0.11520737327188942",sort members.make whitespace use before tokens consistent and add a checkstyle rule to enforce it.format nit.
109,109,"3 0.19978106185002734, 0 0.17487684729064035, 2 0.1288998357963875, 1 0.126984126984127, 4 0.12315270935960593, 5 0.12315270935960593, 6 0.12315270935960593",add final modifier to local variables.convert to java 5 enhanced loops. 
110,110,"5 0.28869047619047616, 6 0.12723214285714282, 2 0.12549603174603172, 1 0.11855158730158732, 4 0.1150793650793651, 0 0.11334325396825398, 3 0.11160714285714288",refactoring fastdateformat per to use the formatcache class created for an upcoming dateparser functionality. ive kept formatcache package-private for now. checkstyle and trailing spaces.
111,111,"0 0.20017636684303347, 4 0.13844797178130513, 1 0.1322751322751323, 2 0.1322751322751323, 3 0.1322751322751323, 5 0.1322751322751323, 6 0.1322751322751323",deprecate systemutilsline_separator in favor of java.lang.systemlineseparator
112,112,"6 0.2397094430992736, 3 0.1380145278450363, 4 0.1380145278450363, 0 0.12106537530266347, 1 0.12106537530266347, 2 0.12106537530266347, 5 0.12106537530266347",refactor exceptioncontext and derived. context contract stipulates a sequence of label-value entries with support for multiple entries for the same label.
113,113,"4 0.22276029055690075, 2 0.13801452784503634, 5 0.13801452784503632, 1 0.1304815711595373, 3 0.1285983319881625, 0 0.12106537530266348, 6 0.12106537530266348",sort members.applying joanne polskys patch adding appendifmissing/prependifmissing methods to stringutils []
114,114,"4 0.395453654712914, 0 0.12110523221634328, 6 0.10738781109151475, 3 0.09778561630413479, 5 0.09641387419165194, 1 0.09229864785420341, 2 0.08955516362923771","sort members.another formatting nit, one or the other is already nullremove superfluous parens like:return (foo + 1);int len = (foo + 1);if ((foo + 1 > 2))((string) foo)moving the charsequence specific methods out of stringutils and reintroducing the charsequenceutils classadding green regionmatches implementation and moving endswith and startswith methods to use it; thus giving them charsequence based apis. 687"
115,115,"6 0.32735219691741435, 3 0.12767425810904068, 2 0.11479181044398439, 4 0.1115711985277203, 0 0.10996089256958824, 1 0.1051299746951921, 5 0.10351966873706006","replace tabs with spaces fastdateparser and fastdateprinter support x format fastdateparser does not handle excess hours as per simpledateformatdocsadded missing support for iso 8601 parsing and printing using ""zz"" pattern (code now matches javadoc). addresses .dont mutate parameters"
116,116,"0 0.17548500881834211, 3 0.14256319811875368, 2 0.14050558495002943, 4 0.14050558495002943, 1 0.13639035861258086, 5 0.1322751322751323, 6 0.1322751322751323",add methods for cloneables to objectutils ().
117,117,"0 0.29234778488509827, 2 0.14309405354181468, 4 0.12153518123667371, 6 0.11656005685856431, 1 0.11158493248045487, 3 0.10826818289504857, 5 0.10660980810234541",code clean-up for checkstyle.document exceptions. use illegalargumentexception instead of assert. throw illegalargumentexception for empty arrays.avoid unnecessary conversions.use stringbuilder instead of stringbuffer.: add conversion utility to convert between data types on byte level
118,118,"5 0.2783068783068783, 6 0.1246031746031746, 1 0.12089947089947091, 0 0.11904761904761905, 2 0.11904761904761905, 3 0.11904761904761905, 4 0.11904761904761905",applying chas hontons implementation of dateparser and subsequent integration into fastdateformat and the time package. see . 
119,119,"3 0.33887043189368776, 2 0.18383167220376526, 4 0.10760428202288665, 6 0.10243632336655589, 0 0.09468438538205977, 1 0.08951642672572907, 5 0.08305647840531563","make whitespace use after tokens consistent and add a checkstyle rule to enforce it.dont need a copy of this field.add final modifier to local variables.remove redundant type arguments.refactor fastdateparseruse hashmap for performance break down regular expressions to per-format, allowingparseposition to get set add parse with calendar input, allowing client to set leniencyand/or replace display names"
120,120,"3 0.1863711001642036, 0 0.17487684729064037, 2 0.14039408866995073, 1 0.12889983579638753, 4 0.12315270935960594, 5 0.12315270935960594, 6 0.12315270935960594",add final modifier to local variables.convert to java 5 enhanced loops. 
121,121,"0 0.18707482993197275, 1 0.15532879818594097, 2 0.13548752834467123, 3 0.13151927437641722, 4 0.13151927437641722, 5 0.13151927437641722, 6 0.12755102040816327",": add archutils - an utility class for the ""os.arch"" system property ()"
122,122,"3 0.323249299719888, 2 0.19253034547152192, 1 0.10756302521008401, 4 0.10625583566760034, 6 0.10233426704014936, 0 0.08403361344537817, 5 0.08403361344537817","make whitespace use after tokens consistent and add a checkstyle rule to enforce it.use validateistrue to validate argumentsremove redundant type arguments.fixing crlfsstatement unnecessarily nested within else clause.merge branch remove_threadutils_compiler_warningsremove compiler warnings from threadutils. thanks to pascal schuhmacher.remove compiler warnings from threadutilsincorporated feedback from fabian, formatting adjusted, count >> 1 replaced with count / 2incorporated feedback from peteradd threadutils"
123,123,"6 0.2801587301587301, 2 0.1246031746031746, 0 0.11904761904761905, 1 0.11904761904761905, 3 0.11904761904761905, 4 0.11904761904761905, 5 0.11904761904761905",make sure lines in files dont have trailing white spaces and remove all trailing white spaces
124,124,"5 0.28285193858964347, 4 0.12438199323445222, 0 0.12256049960967993, 6 0.11891751236013531, 1 0.11709601873536299, 2 0.11709601873536299, 3 0.11709601873536299",refactoring fastdateformat per to use the formatcache class created for an upcoming dateparser functionality. ive kept formatcache package-private for now. 
125,125,"4 0.41778591778591784, 0 0.10582010582010579, 2 0.10297110297110294, 1 0.09869759869759868, 3 0.09157509157509158, 5 0.09157509157509158, 6 0.09157509157509158","sort members.moving the charsequence specific methods out of stringutils and reintroducing the charsequenceutils classreplacing some of the older code. when performing a mutation operation (even if its on an immutable by returning a new instance), string should go in and string should come out. when performing a non-mutation operation, charsequence should be passed in. 687moving lastindexof, contains, containswhitespace, indexofany, containsany, indexofanybut, containsonly, containsnone and substring over to using charsequences for parameters. 687"
126,126,"0 0.17191283292978204, 2 0.164379876244283, 6 0.15496368038740915, 4 0.1380145278450363, 1 0.12671509281678775, 3 0.12294861447403822, 5 0.12106537530266345","functions.java whitspacesreplace tabs with four spaces, as per the projects checkstyle rules.added functions.trywithresources."
127,127,"6 0.3081807081807082, 0 0.12527472527472525, 5 0.11672771672771676, 4 0.11501831501831503, 1 0.11330891330891332, 2 0.11159951159951162, 3 0.1098901098901099",make sure lines in files dont have trailing white spaces and remove all trailing white spacesmake use of existing timeunit class to manage time units.
128,128,"2 0.1878306878306878, 5 0.14050558495002943, 4 0.13844797178130513, 0 0.13433274544385657, 1 0.13433274544385657, 3 0.1322751322751323, 6 0.1322751322751323", addgetandincrement/getanddecrement/getandadd/incrementandget/decrementandget/addandgetin mutable* classes
